Category,Name,Description,Example
General Tips,The Human-AI Sandwich,The Human does the first 10% - framing the problemThe AI does the middle 80% - the heavy liftingThe Human does the last 10% - final review and edits,Never submit something that you haven't read entirely. Let's avoid AI-slop.
General Tips,The Parts of a Prompt,"Define a clear objective, provide context, offer motivation, explain the audience, give instructions, and specify the output format.","""You are an experienced product strategist. Summarize these meeting notes into actionable insights for non-technical executives. Output a concise bullet list focused on product and revenue topics, exclude HR, keep it under 200 words, and include action owner per bullet."""
General Tips,Let AI Become a Natural Partner,"Like you would reach for your phone to check for directions, you should reach for AI for anything related to Writing, Reasoning, Research, and Analysis.","Using Voice Mode or Voice to Text can make AI feel more organic.
Start AI chats immediately on your phone/watch, then continue them later from your computer."
General Tips,AI as Skill Multiplier,AI is better at expanding your existing capabilities than giving you completely new ones. Knowing what is possible and recognizing good outputs will help you to leverage AI effectively.,"You can ask, ""Write me a sales script"". But if you cannot tell good from bad yourself, then the output is uncertain."
General Tips,AI Skills Compound,"The more tools and techniques you know, the more creative you can be - and the more you will learn over time.","Help me research a complex topic.
Draft a presentation outline.
Generate images to go along the main sections.
Create the presentation using HTML or PowerPoint."
Context Packaging,Upload Files,"Provide original files (PDFs, CSVs, docs) so the model can pull details directly when needed.","""I've uploaded a 40-page research PDF. Use it as your only source to summarize the main findings in a one-page brief."""
Context Packaging,Context Formats,"Share the same context in different forms — text, screenshots, pasted tables — to improve understanding.","""Here's my spreadsheet pasted as text, and here is a screenshot of the first few rows to help you understand the structure."""
Context Packaging,Lots of Context,"When unsure what's needed, err on the side of giving more raw material: notes, transcripts, webpage dumps, screenshots.","""Here are my messy project notes and meeting transcripts. Please extract the main decisions, open questions, and owner for each action item."""
Context Packaging,Prune Irrelevant Information,Remove obviously unrelated content so the model isn't distracted or misled by noise.,"Remove unnecessary text/data that don't contribute to the current task.
Start a new chat when changing topics, or when there is too many distractions in the current conversation."
Context Packaging,Structure Context,Organize inputs into labeled sections.,"""GOAL: propose a launch plan for the next 30 days.
BACKGROUND: […]
CONSTRAINTS: […]
EXAMPLES: […]"
Context Packaging,Pre-Process with AI,"First ask the model to summarize or reorganize large, messy inputs into compact, structured notes.","""Summarize these 20 pages into a concise outline.""
Then, ""Turn that outline into a 2-page strategy memo."""
Output Formatting & Structure,Define Output Structure,Describe the exact fields and columns you want the model to return.,"""Return a markdown table with these columns: 'Feature', 'User Segment', 'Value Proposition', 'Risk Level (Low/Med/High)'."""
Output Formatting & Structure,Provide Examples,Show a model answer and tell the AI to follow that style and structure. Note: The model can sometimes copy examples too closely.,"""Here is an example performance review paragraph. Using this style and tone, write a review for an engineer with the following achievements: …"""
Iteration & Refinement,Break into Sub-Steps,"Decompose big tasks into smaller, manageable steps.","Prompt 1: ""Create an outline for a 10-slide pitch deck.""
Prompt 2: ""Write the voice track for slide 1.""
Prompt 3: ""Write the speaker notes for slide 1."""
Iteration & Refinement,Iterate,Run iterative cycles: draft → refine → repeat until satisfied.,"Prompt 1: ""Draft a 1-page proposal.""
Prompt 2: ""Rewrite it to be 20% shorter and more persuasive."""
