Category,Name,Desciption,Example
General Tips,The Parts of a Prompt,"Define a clear objective, offer motivation, explain the audience, give instructions, specify the output, etc.","""You are an experienced product strategist. Summarize the following meeting notes into actionable insights for non-technical executives so they can prepare for an upcoming board meeting. Present the output as a concise bullet list, focusing only on product and revenue topics while excluding HR discussions. Keep it under 200 words, maintain a professional tone, and ensure each bullet clearly states the action and owner."""
General Tips,The Human-AI Sandwich,Let humans handle the first and last 10% (framing + final review) and AI handle the heavy middle.,
General Tips,Let AI Become a Natural Partner,"Like you would reach for your phone to check for directions, you should reach for AI for anything related to Writing, Reasoning, Research, and Analysis.","- Try using Voice Mode or Voice to Text, can make AI fell more organic. 
- Start AI chats immediately on your phone, then continue them later from your computer.
- Some wearables (earphones, smart-watches, etc.) can connect to your AI-accounts for immediate use"
General Tips,Treat AI as a Skill Multiplier,AI is better at expanding your capabilities than it is at giving you completely new ones.,"You can ask, “Write me a sales script”. But if you can’t tell good from bad yourself, then the output is uncertain."
General Tips,AI Skills Compound,"the more you know (tools/techniques) the more creative you can be, and the more you will learn",
Context Packaging,Upload Files,"Provide original files (PDFs, CSVs, docs) so the model can pull details from them when needed.",“I’ve uploaded a 40-page research PDF. Use it as your only source to summarize the main findings in a one-page brief.”
Context Packaging,Context Formats,"Share the same context in different forms (text, screenshots, pasted tables) to improve understanding.","“Here’s my spreadsheet pasted as text, and here is a screenshot of the first few rows to help you understand the structure. Help me identify trends in the sales data.”"
Context Packaging,Lots of Context,"Err on the side of giving more raw material (notes, transcripts, webpage dumps, and even pictures/screenshots) when unsure what’s needed.","“Here are my messy project notes and meeting transcripts. Please extract the main decisions, open questions, and owner for each action item.”"
Context Packaging,Prune Irrelevant Information,Remove obviously unrelated content so the model isn’t distracted or misled.,"“Here’s our project doc with the HR section removed. Based only on the product-related content, outline the next 5 milestones.”"
Context Packaging,Structure Context,"Organize inputs into labeled sections like BACKGROUND, GOAL, CONSTRAINTS, EXAMPLES.","“BACKGROUND: … GOAL: … CONSTRAINTS: … EXAMPLES: … Using this structure, propose a launch plan for the next 30 days.”"
Context Packaging,Use AI to Pre-Process Context,"First ask the model to summarize or reorganize large, messy inputs into compact, structured notes.","Prompt 1: “Here are 20 pages of notes. Summarize them into a concise outline with headings and bullet points.”
Prompt 2: “Turn that outline into a 2-page strategy memo.”"
Output Formatting & Structure,Define Output Structure,Describe the exact fields and columns you want the model to return.,"“Return a markdown table with these columns: ‘Feature’, ‘User Segment’, ‘Value Proposition’, ‘Risk Level (Low/Med/High)’.”"
Output Formatting & Structure,Provide Examples,"Show a model answer and tell the AI to follow that style and structure. Note: Experiment with this, because the model can often copy the example too closely.","“Here is an example performance review paragraph. Using this style and tone, write a review for an engineer with the following achievements: …”"
Iteration & Refinement,Break into Sub-Steps,Decompose big tasks into smaller steps (outline A & B → draft A → draft B).,"Prompt 1: “Create an outline for a 10-slide pitch deck.”
Prompt 2: “Write the voice track for slide 1.”
Prompt 3: “Write the speaker notes for slide 1.” 
…"
Iteration & Refinement,Itterate,Run iterative cycles (draft → refine → repeat).,"Prompt 1: “Draft a 1-page proposal”
Prompt 2: “Rewrite it to be 20% shorter and more persuasive.”"
Iteration & Refinement,Self-Itterate,Have the model critique its own output and propose improvements.,“1) Identify the weaknesses and missing details of your last response. 2) Rewrite incorporating your own feedback.”
Iteration & Refinement,Draft in a Canvas,Use a dedicated drafting space (canvas / doc) for long-form content to make editing easier.,"“Write a detailed project plan in a pop-out canvas, including sections for Objectives, Scope, Timeline, and Risks.”"
Thoughtful Responses,Ask for Assumptions,"Require the model to explain its assumptions, reasoning steps, and approach.","Prompt 1: “Don’t answer yet. First, explain your assumptions and the method you’ll use.”
Prompt 2: “A better interest rate to use is 8%, and assume the interest is applied monthly. Now tell me the answer.”"
Thoughtful Responses,Request Multiple Options,Have the model generate several options with pros/cons so you can choose.,"“Give me 3 different positioning statements for this product, with pros and cons for each and a recommendation.”"
Thoughtful Responses,Trigger Self-Critique,Ask the model to play devil’s advocate and challenge its own conclusions.,“You just recommended Option B. Now play devil’s advocate and argue why Option B might fail and what we should watch for.”
Maximum Intelligence,Show Its Work,Instruct the model to think through the problem step-by-step before responding. Note: This is especially important for non-reasoning models.,“Talk through your reasoning step by step before giving a final answer: Is this A/B test design statistically sound?”
Maximum Intelligence,Think Very Long and Hard,Add this for extra computation. Note: This only works on reasoning models.,“Think very long and hard and design an algorithm to allocate budget across channels under these constraints and justify your approach.”
Maximum Intelligence,Use a Thinking Model,Use a reasoning-focused model when accuracy and logical depth matter most.,“Analyze this legal clause for ambiguities and outline possible interpretations and risks.”
Maximum Intelligence,Use an Instant Model,"Use a faster model for bulk, repetitive, or low-risk tasks.","“Convert this unstructured log of customer complaints into a 1000-row table with columns for ‘Customer’, ‘Issue Category’, and ‘Sentiment’.”"
Analysis,Structure Data,"AI can turn unstructured text into a structure (e.g. table, JSON, etc.)","""Turn the text of this web page into a markdown table with the following headers: Product Name, Price, & Description"""
Analysis,Reformat Data,AI can intellegently refactor or reformat data,"""Take all of the names and put them into Lastname, Firstname format."""
Analysis,Internal Analysis,"Using Python, AI can run calculations or generate figures.","""Using our historic growth data, project when we will double in size. Plot our projected growth curve over top of the historic data."""
Analysis,External Analysis,"AI can help you run analysese, by generating Excel / Google Sheet formulas.","""Help me develop an excel formula that will calculate the corellation coeficient between sales commision percentage and closing rate."""
Analysis,Internal Capabilities,"Using Python, AI can do simple actions: Generate a QR code, convert image types, add headers or page numbers to PDFs, etc.","""Combine these two PDFs and add page numbers to the bottom right of the pages in Arial 12pt. font."""
Analysis,Debugging and Trouble Shooting,"AI can walk you through complex problems if you upload screenshots, pictures, or error codes.","""Here is a screenshot of my computer. Where did the menue bar go, and how do I get it back?"""
Prompt Library,Turn Chats into Reusable Prompts,"Convert successful conversations into general, reusable prompts.",“Analyze this conversation where you helped me design a workshop. Draft a reusable prompt that would recreate this kind of workshop plan for any topic.”
Prompt Library,Parameterize Your Prompts,"Add variables like {{Audience}}, {{Tone}}, and {{Length}} so prompts can be reused easily.",
Prompt Library,Organize a Prompt Library,Maintain a catalog of your best prompts by use case and domain.,
Quality Control & Verification,Add Verification Instructions,Explicitly tell the model to flag uncertainty or speculation.,"“Answer these questions and label each statement as ‘Confident’, ‘Likely’, or ‘Speculative’. Highlight anything that needs human verification.”"
Quality Control & Verification,Require Checkable Sources,"Ask the AI to provide verifiable sources for factual claims.  Note: make sure to check them, because sources can also be hallucinated.",“Provide a short answer to this question and list 3 credible sources I can check. Clearly separate facts from your own inferences.”
Quality Control & Verification,Self-Check for Errors,"Ask the model to check its own answers for accuracy. Note: Reasoning models often do this automatically if you include ""Think very long and hard"" to the prompt.","“Check your summary against the source text and look for any inconsistencies, serious omissions, or contradictions.”"
